PÁGINA WEB,,,,,,,,,
Producto,Unidades,Precio venta,Ingreso,Costo compra,Precio negociación,Costo producción,Egreso operativo asignado,Sueldo asignado,Ganancia
Mora,110,"$ 14,000","$ 1,540,000","$ 440,000","$ 7,800","$ 605,000",$ 0,"$ 730,526","$ 204,474"
Coco,95,"$ 14,500","$ 1,377,500","$ 361,000","$ 8,200","$ 503,500",$ 0,"$ 653,441","$ 220,559"
Oreo,110,"$ 14,000","$ 1,540,000","$ 440,000","$ 8,200","$ 605,000",$ 0,"$ 730,526","$ 204,474"
Maracuyá,115,"$ 14,000","$ 1,610,000","$ 460,000","$ 8,100","$ 632,500",$ 0,"$ 763,731","$ 213,769"
Arequipe,95,"$ 13,500","$ 1,282,500","$ 361,000","$ 7,500","$ 503,500",$ 0,"$ 608,376","$ 170,624"
Kiwi,103,"$ 16,500","$ 1,699,500","$ 463,500","$ 9,000","$ 618,000",$ 0,"$ 806,187","$ 275,313"
Cereza,95,"$ 13,500","$ 1,282,500","$ 332,500","$ 8,000","$ 475,000",$ 0,"$ 608,376","$ 199,124"
Durazno,112,"$ 15,000","$ 1,680,000","$ 470,400","$ 8,100","$ 638,400",$ 0,"$ 796,937","$ 244,663"
Tres leches,124,"$ 15,500","$ 1,922,000","$ 492,900","$ 8,113","$ 678,900",$ 0,"$ 911,734","$ 331,366"
TOTAL,959,,"$ 13,934,000","$ 3,821,300",,"$ 5,259,800",$ 0,"$ 6,609,834","$ 2,064,366"
