Destino,Total Cantidad,Precio del domicilio,Precio 26-50 postres,Ingreso de domicilios,Cantidad de pedidos por cliente,Comión de Conductor y mesero,Valor total comisión conductor,Comión de mesero,Valor total comisión Mesero,,,,Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
La Dorada,151,"$ 3,000","$ 6,000","$ 108,000",36,800,"$28,800",1000,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Salgar,36,"$ 3,800","$ 7,600","$ 136,800",36,800,"$28,800",1000,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purnio,33,"$ 4,200","$ 8,400","$ 46,200",11,800,"$8,800",1000,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarinó,37,"$ 4,800","$ 9,600","$ 33,600",7,800,"$5,600",1000,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,43,"$ 8,000","$ 16,000","$ 56,000",7,800,"$5,600",1000,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Caldas,0,"$ 10,000","$ 20,000","$ 10,000",1,800,$800,1000,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,300,,,"$ 390,600",98,,"$78,400",,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA DORADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N° de clientes,FECHA,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,,,,,5,,,,,,,,5,3,4,5,5,,,5,,,4,,,,4,,,,,,,,,,,,,,,,
Cliente 2,,,,,,,5,,,,,,,5,,,4,,,,4,2,,,,,,,3,3,,,,,,,,,,,,,,
Cliente 3,,,,,,,,,,6,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
Cliente 4,,,,,,,,,,,5,,,,2,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,
Cliente 5,,,,,,,,8,5,,8,,,3,,,4,4,,,3,,,,,,2,,,,,,,,,,,,,,,,,
Cliente 6,,,,,,7,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliente 7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliente 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Total postres,0,0,0,0,0,12,5,8,5,6,13,0,3,13,5,4,13,16,3,4,16,2,0,4,0,0,2,7,3,3,0,4,0,,,,,,,,,,,
N° de clientes / domicilios,,0,0,,0,2,1,1,1,1,2,0,1,3,2,1,3,4,1,1,4,1,0,1,0,0,1,2,1,1,0,1,0,,,,,,,,,,,
Domicilios $ por día,,$ 0,$ 0,,$ 0,"$ 6,000","$ 3,000","$ 3,000","$ 3,000","$ 3,000","$ 6,000",$ 0,"$ 3,000","$ 9,000","$ 6,000","$ 3,000","$ 9,000","$ 12,000","$ 3,000","$ 3,000","$ 12,000","$ 3,000",$ 0,"$ 3,000",$ 0,$ 0,"$ 3,000","$ 6,000","$ 3,000","$ 3,000",$ 0,"$ 3,000",$ 0,,,,,,,,,,,
Total domicilios,36,"$ 108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUERTO SALGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Salgar,N° de clientes,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,3,,,,,,,,5,2,3,,,,2,3,3,2,2,3,2,2,3,2,3,2,2,3,2,3,3,4,,,,,,,,,,,
Cliente 2,,1,,,,,1,1,,,,,,2,,2,2,3,2,2,2,,,,,,1,2,,,,3,3,,,,,,,,,,,
Total postres,0,4,0,0,0,0,1,1,0,5,2,3,0,2,0,4,5,6,4,4,5,2,2,3,2,3,3,4,3,2,3,6,7,,,,,,,,,,,
