Destino,Total Cantidad,Precio del domicilio,Precio 26-50 postres,Ingreso de domicilios,Cantidad de pedidos por cliente,Comisión de Conductor,Valor total comisión conductor,,,,,,Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
La Dorada,508,"$ 3,000","$ 6,000","$ 441,000",147,800,"$117,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Salgar,147,"$ 3,800","$ 7,600","$ 163,400",43,800,"$34,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purnio,128,"$ 4,200","$ 8,400","$ 226,800",54,800,"$43,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guarinó,92,"$ 4,800","$ 9,600","$ 168,000",35,800,"$28,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda,63,"$ 8,000","$ 16,000","$ 184,000",23,800,"$18,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Caldas,21,"$ 10,000","$ 20,000","$ 70,000",7,800,"$5,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,959,,,"$ 1,253,200",309,,"$247,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA DORADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N° de clientes,FECHA,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,3,8,,5,5,5,4,3,4,3,4,5,5,3,4,5,5,4,5,5,2,3,4,3,3,4,4,5,4,4,5,5,,,,,,,,,,,
Cliente 2,,$ 1,$ 7,,4,4,4,3,3,3,3,3,4,5,3,3,4,5,4,4,4,2,2,3,2,3,3,4,3,3,3,5,5,,,,,,,,,,,
Cliente 3,,$ 2,$ 6,,3,3,4,3,2,2,2,3,4,4,2,3,4,5,4,4,4,2,2,3,1,3,3,3,2,3,3,4,5,,,,,,,,,,,
Cliente 4,,,$ 5,,3,3,4,2,2,,,2,4,4,2,3,4,4,3,4,4,,2,2,,2,2,3,1,2,3,4,4,,,,,,,,,,,
Cliente 5,,,$ 4,,,,3,,,,,,3,3,,3,4,4,3,3,3,,,,,,2,3,,,2,4,4,,,,,,,,,,,
Cliente 6,,,,,,,,,,,,,3,3,,,4,4,,,3,,,,,,,3,,,,3,4,,,,,,,,,,,
Cliente 7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,4,,,,,,,,,,,,
Cliente 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,
Total postres,,6,30,,15,15,20,12,10,9,8,12,23,24,10,16,25,30,18,20,23,6,9,12,6,11,14,20,11,12,21,33,27,,,,,,,,,,,
N° de clientes / domicilios,,3,5,,4,4,5,4,4,3,3,4,6,6,4,5,6,7,5,5,6,3,4,4,3,4,5,6,4,4,7,8,6,,,,,,,,,,,
Domicilios $ por día,,"$ 9,000","$ 15,000",,"$ 12,000","$ 12,000","$ 15,000","$ 12,000","$ 12,000","$ 9,000","$ 9,000","$ 12,000","$ 18,000","$ 18,000","$ 12,000","$ 15,000","$ 18,000","$ 21,000","$ 15,000","$ 15,000","$ 18,000","$ 9,000","$ 12,000","$ 12,000","$ 9,000","$ 12,000","$ 15,000","$ 18,000","$ 12,000","$ 12,000","$ 21,000","$ 24,000","$ 18,000",,,,,,,,,,,
Total domicilios,147,"$ 441,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUERTO SALGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Salgar,N° de clientes,1,2,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,
Cliente 1,,3,,,,,2,2,2,2,2,3,3,3,2,2,3,3,2,2,3,2,2,3,2,3,2,2,3,2,3,3,4,,,,,,,,,,,
